exception_text,label
Motor failure in unit 862,Motor
Irregular production flow at station 725,Production
Sensor data not recorded for line 167,Sensor
Inconsistent pressure readings in valve 745,Pressure
Sensor data not recorded for line 337,Sensor
Operator missed critical step in process 89,Operator
Production halted due to jam on line 70,Production
Temperature sensor failed during batch 643,Sensor
Irregular production flow at station 100,Production
Contaminated material detected in lot 979,Contamination
Specification limits breached at point 33,Specification
Incorrect calibration values on test 604,Calibration
Production delay in shift 704,Production
System crash during data logging 278,System
Inconsistent pressure readings in valve 529,Pressure
Pressure system malfunction at node 210,Pressure
Production halted due to jam on line 727,Production
Operator failed to document action in batch 351,Operator
Temperature sensor failed during batch 287,Sensor
Operator missed critical step in process 840,Operator
Motor failure in unit 664,Motor
Inventory mismatch reported at warehouse 1,Logistics
Manual override by operator caused error in 416,Operator
Manual override by operator caused error in 838,Operator
System crash during data logging 406,System
Motor failure in unit 985,Motor
Temperature sensor failed during batch 945,Sensor
Delay in raw material delivery 728,Logistics
Contaminated material detected in lot 523,Contamination
Incorrect shipment logged for delivery 603,Logistics
Specification limits breached at point 439,Specification
Contaminated material detected in lot 635,Contamination
Biological contamination reported in lab 694,Contamination
Operator failed to document action in batch 948,Operator
Delay in raw material delivery 189,Logistics
Incorrect shipment logged for delivery 506,Logistics
Pressure dropped below threshold in chamber 843,Pressure
Calibration error detected in device 593,Calibration
Software error in automated control system 362,System
Incorrect calibration values on test 65,Calibration
Production halted due to jam on line 420,Production
System diagnostics failed at stage 191,System
Incorrect calibration values on test 944,Calibration
Operator missed critical step in process 124,Operator
Inventory mismatch reported at warehouse 263,Logistics
Software error in automated control system 198,System
Incorrect shipment logged for delivery 832,Logistics
Operator missed critical step in process 677,Operator
Calibration error detected in device 459,Calibration
Motor overheating issue reported at 229,Motor
Calibration overdue for instrument 907,Calibration
Unexpected sensor spike in process 68,Sensor
Calibration error detected in device 768,Calibration
Unexpected motor shutdown on machine 402,Motor
Inconsistent pressure readings in valve 530,Pressure
Unexpected sensor spike in process 920,Sensor
Unexpected motor shutdown on machine 922,Motor
Production halted due to jam on line 815,Production
Delay in raw material delivery 845,Logistics
System diagnostics failed at stage 840,System
Incorrect calibration values on test 867,Calibration
Pressure system malfunction at node 189,Pressure
Temperature sensor failed during batch 640,Sensor
Biological contamination reported in lab 926,Contamination
Software error in automated control system 385,System
Calibration error detected in device 998,Calibration
Pressure system malfunction at node 804,Pressure
Motor failure in unit 985,Motor
Operator failed to document action in batch 203,Operator
Biological contamination reported in lab 911,Contamination
Irregular production flow at station 906,Production
Incorrect shipment logged for delivery 816,Logistics
Specification limits breached at point 838,Specification
Inventory mismatch reported at warehouse 419,Logistics
Calibration overdue for instrument 22,Calibration
Inconsistent pressure readings in valve 303,Pressure
Material outside specification detected in 211,Specification
Incorrect calibration values on test 978,Calibration
Inventory mismatch reported at warehouse 132,Logistics
Motor overheating issue reported at 209,Motor
Motor overheating issue reported at 928,Motor
Delay in raw material delivery 877,Logistics
Motor overheating issue reported at 217,Motor
Operator failed to document action in batch 113,Operator
System crash during data logging 993,System
Inconsistent pressure readings in valve 244,Pressure
System crash during data logging 497,System
Unexpected particles found in batch 235,Contamination
Sensor data not recorded for line 975,Sensor
Material outside specification detected in 540,Specification
Calibration error detected in device 313,Calibration
System crash during data logging 668,System
Unexpected sensor spike in process 165,Sensor
Production delay in shift 426,Production
System diagnostics failed at stage 540,System
Calibration error detected in device 285,Calibration
Deviation from specification recorded in batch 80,Specification
Deviation from specification recorded in batch 429,Specification
Calibration error detected in device 519,Calibration
Unexpected sensor spike in process 835,Sensor
Delay in raw material delivery 761,Logistics
Software error in automated control system 211,System
Unexpected particles found in batch 851,Contamination
Temperature sensor failed during batch 248,Sensor
Incorrect calibration values on test 33,Calibration
Manual override by operator caused error in 9,Operator
Irregular production flow at station 917,Production
Pressure dropped below threshold in chamber 834,Pressure
Pressure system malfunction at node 467,Pressure
Incorrect calibration values on test 342,Calibration
Inconsistent pressure readings in valve 666,Pressure
Pressure dropped below threshold in chamber 902,Pressure
Operator missed critical step in process 501,Operator
Calibration error detected in device 144,Calibration
Production delay in shift 991,Production
System diagnostics failed at stage 311,System
Delay in raw material delivery 482,Logistics
Production delay in shift 948,Production
Incorrect shipment logged for delivery 730,Logistics
Irregular production flow at station 502,Production
Production delay in shift 733,Production
Unexpected motor shutdown on machine 273,Motor
Specification limits breached at point 946,Specification
Pressure dropped below threshold in chamber 938,Pressure
Motor failure in unit 834,Motor
Contaminated material detected in lot 556,Contamination
Irregular production flow at station 295,Production
Temperature sensor failed during batch 376,Sensor
System crash during data logging 110,System
Delay in raw material delivery 114,Logistics
Sensor data not recorded for line 212,Sensor
Pressure dropped below threshold in chamber 878,Pressure
Delay in raw material delivery 322,Logistics
Delay in raw material delivery 760,Logistics
Motor overheating issue reported at 713,Motor
Motor overheating issue reported at 103,Motor
Inventory mismatch reported at warehouse 405,Logistics
Unexpected motor shutdown on machine 529,Motor
Motor failure in unit 36,Motor
Inconsistent pressure readings in valve 683,Pressure
Irregular production flow at station 448,Production
Pressure system malfunction at node 783,Pressure
Irregular production flow at station 866,Production
Incorrect calibration values on test 310,Calibration
Production halted due to jam on line 4,Production
Unexpected motor shutdown on machine 314,Motor
Specification limits breached at point 602,Specification
Material outside specification detected in 569,Specification
Contaminated material detected in lot 144,Contamination
Material outside specification detected in 828,Specification
Manual override by operator caused error in 93,Operator
Deviation from specification recorded in batch 2,Specification
Unexpected motor shutdown on machine 740,Motor
Inconsistent pressure readings in valve 67,Pressure
Pressure system malfunction at node 927,Pressure
Sensor data not recorded for line 770,Sensor
Unexpected particles found in batch 684,Contamination
Deviation from specification recorded in batch 115,Specification
Calibration overdue for instrument 501,Calibration
System crash during data logging 578,System
Unexpected particles found in batch 370,Contamination
Software error in automated control system 484,System
Operator missed critical step in process 659,Operator
Production delay in shift 335,Production
Inventory mismatch reported at warehouse 395,Logistics
Operator missed critical step in process 212,Operator
Material outside specification detected in 916,Specification
Biological contamination reported in lab 731,Contamination
Specification limits breached at point 253,Specification
Manual override by operator caused error in 208,Operator
Deviation from specification recorded in batch 33,Specification
System crash during data logging 360,System
Incorrect calibration values on test 255,Calibration
Contaminated material detected in lot 9,Contamination
Unexpected motor shutdown on machine 540,Motor
Motor overheating issue reported at 870,Motor
Unexpected particles found in batch 74,Contamination
Irregular production flow at station 886,Production
Motor failure in unit 169,Motor
Motor failure in unit 646,Motor
Sensor data not recorded for line 121,Sensor
Manual override by operator caused error in 334,Operator
Motor failure in unit 916,Motor
Calibration overdue for instrument 651,Calibration
Specification limits breached at point 676,Specification
Inventory mismatch reported at warehouse 232,Logistics
Calibration overdue for instrument 172,Calibration
Biological contamination reported in lab 358,Contamination
Motor failure in unit 997,Motor
Irregular production flow at station 583,Production
Material outside specification detected in 846,Specification
Inconsistent pressure readings in valve 885,Pressure
Material outside specification detected in 706,Specification
Incorrect shipment logged for delivery 979,Logistics
Pressure system malfunction at node 633,Pressure
Contaminated material detected in lot 742,Contamination
Calibration overdue for instrument 936,Calibration
Calibration error detected in device 219,Calibration
Biological contamination reported in lab 350,Contamination
Operator failed to document action in batch 732,Operator
Operator failed to document action in batch 805,Operator
Material outside specification detected in 251,Specification
Production delay in shift 798,Production
Calibration overdue for instrument 559,Calibration
Operator failed to document action in batch 528,Operator
System crash during data logging 801,System
Irregular production flow at station 186,Production
Inventory mismatch reported at warehouse 915,Logistics
Manual override by operator caused error in 682,Operator
Pressure dropped below threshold in chamber 801,Pressure
Incorrect calibration values on test 59,Calibration
Sensor data not recorded for line 12,Sensor
Unexpected particles found in batch 465,Contamination
System diagnostics failed at stage 746,System
Software error in automated control system 203,System
Inconsistent pressure readings in valve 119,Pressure
Motor overheating issue reported at 64,Motor
Sensor data not recorded for line 704,Sensor
Biological contamination reported in lab 128,Contamination
System diagnostics failed at stage 920,System
Incorrect shipment logged for delivery 309,Logistics
Unexpected motor shutdown on machine 195,Motor
Incorrect shipment logged for delivery 189,Logistics
Motor overheating issue reported at 41,Motor
Unexpected sensor spike in process 862,Sensor
Biological contamination reported in lab 741,Contamination
Biological contamination reported in lab 713,Contamination
Irregular production flow at station 571,Production
Motor failure in unit 154,Motor
Production halted due to jam on line 801,Production
Pressure dropped below threshold in chamber 514,Pressure
Inventory mismatch reported at warehouse 936,Logistics
Contaminated material detected in lot 978,Contamination
Inventory mismatch reported at warehouse 262,Logistics
Incorrect calibration values on test 218,Calibration
Inventory mismatch reported at warehouse 746,Logistics
Incorrect calibration values on test 725,Calibration
Inconsistent pressure readings in valve 323,Pressure
Unexpected particles found in batch 153,Contamination
Temperature sensor failed during batch 835,Sensor
Delay in raw material delivery 826,Logistics
Unexpected sensor spike in process 234,Sensor
Unexpected sensor spike in process 797,Sensor
Irregular production flow at station 214,Production
System diagnostics failed at stage 63,System
Production delay in shift 351,Production
Inconsistent pressure readings in valve 603,Pressure
Pressure system malfunction at node 150,Pressure
Manual override by operator caused error in 228,Operator
Manual override by operator caused error in 360,Operator
Unexpected motor shutdown on machine 464,Motor
Irregular production flow at station 231,Production
Calibration error detected in device 106,Calibration
Irregular production flow at station 292,Production
Production halted due to jam on line 474,Production
Pressure dropped below threshold in chamber 895,Pressure
Pressure dropped below threshold in chamber 294,Pressure
Motor failure in unit 417,Motor
Material outside specification detected in 191,Specification
Operator missed critical step in process 870,Operator
Delay in raw material delivery 860,Logistics
Calibration error detected in device 552,Calibration
Manual override by operator caused error in 913,Operator
Contaminated material detected in lot 207,Contamination
Material outside specification detected in 629,Specification
System diagnostics failed at stage 613,System
Incorrect shipment logged for delivery 274,Logistics
Motor overheating issue reported at 550,Motor
Production halted due to jam on line 527,Production
Calibration error detected in device 996,Calibration
System crash during data logging 93,System
Inconsistent pressure readings in valve 200,Pressure
Contaminated material detected in lot 624,Contamination
Deviation from specification recorded in batch 28,Specification
Inventory mismatch reported at warehouse 872,Logistics
Operator missed critical step in process 43,Operator
System crash during data logging 678,System
Irregular production flow at station 306,Production
Inventory mismatch reported at warehouse 774,Logistics
Motor failure in unit 282,Motor
Operator missed critical step in process 304,Operator
Unexpected particles found in batch 586,Contamination
Incorrect calibration values on test 863,Calibration
Delay in raw material delivery 900,Logistics
Unexpected sensor spike in process 473,Sensor
Incorrect shipment logged for delivery 663,Logistics
Deviation from specification recorded in batch 864,Specification
Production halted due to jam on line 742,Production
Specification limits breached at point 122,Specification
Material outside specification detected in 228,Specification
Inventory mismatch reported at warehouse 947,Logistics
Deviation from specification recorded in batch 274,Specification
Inconsistent pressure readings in valve 331,Pressure
Manual override by operator caused error in 339,Operator
Sensor data not recorded for line 629,Sensor
Pressure system malfunction at node 749,Pressure
Unexpected particles found in batch 749,Contamination
Production halted due to jam on line 654,Production
Incorrect shipment logged for delivery 573,Logistics
Operator missed critical step in process 767,Operator
Software error in automated control system 316,System
Pressure dropped below threshold in chamber 786,Pressure
Production halted due to jam on line 927,Production
Irregular production flow at station 83,Production
Incorrect calibration values on test 862,Calibration
Operator missed critical step in process 686,Operator
Specification limits breached at point 348,Specification
Manual override by operator caused error in 300,Operator
Temperature sensor failed during batch 979,Sensor
System diagnostics failed at stage 694,System
Specification limits breached at point 468,Specification
Operator failed to document action in batch 330,Operator
System diagnostics failed at stage 464,System
Material outside specification detected in 484,Specification
Unexpected sensor spike in process 967,Sensor
Pressure system malfunction at node 158,Pressure
System diagnostics failed at stage 635,System
Production delay in shift 551,Production
Unexpected motor shutdown on machine 897,Motor
Unexpected sensor spike in process 289,Sensor
Incorrect calibration values on test 663,Calibration
Material outside specification detected in 862,Specification
Unexpected sensor spike in process 685,Sensor
Deviation from specification recorded in batch 218,Specification
Software error in automated control system 544,System
Irregular production flow at station 997,Production
Unexpected sensor spike in process 565,Sensor
Irregular production flow at station 423,Production
Contaminated material detected in lot 812,Contamination
Production halted due to jam on line 682,Production
Specification limits breached at point 885,Specification
Pressure dropped below threshold in chamber 446,Pressure
Pressure dropped below threshold in chamber 539,Pressure
System diagnostics failed at stage 785,System
Contaminated material detected in lot 276,Contamination
Inventory mismatch reported at warehouse 882,Logistics
Pressure dropped below threshold in chamber 979,Pressure
Motor overheating issue reported at 445,Motor
Temperature sensor failed during batch 828,Sensor
Production delay in shift 317,Production
Inconsistent pressure readings in valve 64,Pressure
Incorrect calibration values on test 600,Calibration
Incorrect calibration values on test 943,Calibration
Production delay in shift 295,Production
Calibration error detected in device 439,Calibration
Temperature sensor failed during batch 839,Sensor
Motor overheating issue reported at 19,Motor
Sensor data not recorded for line 581,Sensor
Incorrect shipment logged for delivery 399,Logistics
Incorrect calibration values on test 960,Calibration
Manual override by operator caused error in 745,Operator
Temperature sensor failed during batch 895,Sensor
Unexpected motor shutdown on machine 593,Motor
Temperature sensor failed during batch 601,Sensor
Specification limits breached at point 747,Specification
Sensor data not recorded for line 300,Sensor
Biological contamination reported in lab 850,Contamination
System crash during data logging 838,System
Production halted due to jam on line 625,Production
Specification limits breached at point 725,Specification
Delay in raw material delivery 655,Logistics
Inconsistent pressure readings in valve 104,Pressure
Motor failure in unit 589,Motor
Pressure system malfunction at node 752,Pressure
Motor overheating issue reported at 94,Motor
Incorrect shipment logged for delivery 224,Logistics
Sensor data not recorded for line 104,Sensor
Operator failed to document action in batch 719,Operator
Calibration overdue for instrument 249,Calibration
Production delay in shift 660,Production
Inventory mismatch reported at warehouse 87,Logistics
Incorrect calibration values on test 34,Calibration
Sensor data not recorded for line 986,Sensor
Deviation from specification recorded in batch 944,Specification
Incorrect shipment logged for delivery 275,Logistics
Temperature sensor failed during batch 785,Sensor
Irregular production flow at station 903,Production
Unexpected motor shutdown on machine 360,Motor
Temperature sensor failed during batch 426,Sensor
Manual override by operator caused error in 907,Operator
Sensor data not recorded for line 531,Sensor
Incorrect shipment logged for delivery 532,Logistics
Temperature sensor failed during batch 52,Sensor
Delay in raw material delivery 323,Logistics
Operator failed to document action in batch 75,Operator
Production delay in shift 63,Production
Incorrect calibration values on test 832,Calibration
Pressure system malfunction at node 952,Pressure
Calibration overdue for instrument 834,Calibration
Biological contamination reported in lab 704,Contamination
Inventory mismatch reported at warehouse 334,Logistics
Incorrect shipment logged for delivery 945,Logistics
Pressure system malfunction at node 174,Pressure
Pressure system malfunction at node 818,Pressure
Incorrect shipment logged for delivery 399,Logistics
Production delay in shift 621,Production
Manual override by operator caused error in 170,Operator
Incorrect shipment logged for delivery 26,Logistics
Unexpected sensor spike in process 533,Sensor
Biological contamination reported in lab 921,Contamination
Unexpected sensor spike in process 596,Sensor
Inconsistent pressure readings in valve 532,Pressure
Operator failed to document action in batch 114,Operator
Inventory mismatch reported at warehouse 916,Logistics
Calibration overdue for instrument 900,Calibration
Operator missed critical step in process 254,Operator
Sensor data not recorded for line 666,Sensor
Temperature sensor failed during batch 81,Sensor
Pressure dropped below threshold in chamber 985,Pressure
Specification limits breached at point 555,Specification
Calibration overdue for instrument 382,Calibration
Deviation from specification recorded in batch 871,Specification
Incorrect shipment logged for delivery 208,Logistics
Specification limits breached at point 244,Specification
Pressure dropped below threshold in chamber 402,Pressure
Deviation from specification recorded in batch 242,Specification
Material outside specification detected in 288,Specification
Unexpected sensor spike in process 721,Sensor
Material outside specification detected in 552,Specification
Inventory mismatch reported at warehouse 545,Logistics
Incorrect shipment logged for delivery 487,Logistics
System diagnostics failed at stage 764,System
Unexpected particles found in batch 890,Contamination
Incorrect shipment logged for delivery 653,Logistics
Motor failure in unit 606,Motor
Delay in raw material delivery 368,Logistics
Operator missed critical step in process 674,Operator
Unexpected motor shutdown on machine 901,Motor
Contaminated material detected in lot 122,Contamination
Temperature sensor failed during batch 205,Sensor
Incorrect calibration values on test 24,Calibration
Deviation from specification recorded in batch 628,Specification
Sensor data not recorded for line 537,Sensor
Biological contamination reported in lab 454,Contamination
Contaminated material detected in lot 840,Contamination
Incorrect shipment logged for delivery 689,Logistics
Calibration error detected in device 943,Calibration
Motor failure in unit 307,Motor
Biological contamination reported in lab 252,Contamination
Unexpected sensor spike in process 350,Sensor
Material outside specification detected in 330,Specification
Material outside specification detected in 200,Specification
Incorrect shipment logged for delivery 223,Logistics
Unexpected motor shutdown on machine 293,Motor
Motor failure in unit 189,Motor
Calibration error detected in device 78,Calibration
Production delay in shift 526,Production
Sensor data not recorded for line 380,Sensor
Pressure dropped below threshold in chamber 297,Pressure
Incorrect calibration values on test 790,Calibration
Unexpected particles found in batch 145,Contamination
Sensor data not recorded for line 199,Sensor
Calibration error detected in device 940,Calibration
Specification limits breached at point 324,Specification
Operator missed critical step in process 911,Operator
Biological contamination reported in lab 671,Contamination
Motor overheating issue reported at 229,Motor
Sensor data not recorded for line 322,Sensor
Operator missed critical step in process 50,Operator
Unexpected particles found in batch 319,Contamination
Inconsistent pressure readings in valve 945,Pressure
Pressure system malfunction at node 828,Pressure
Operator missed critical step in process 55,Operator
Production halted due to jam on line 645,Production
Unexpected sensor spike in process 385,Sensor
Production halted due to jam on line 787,Production
Incorrect shipment logged for delivery 103,Logistics
Biological contamination reported in lab 292,Contamination
Specification limits breached at point 410,Specification
Delay in raw material delivery 289,Logistics
Production delay in shift 814,Production
Sensor data not recorded for line 804,Sensor
Incorrect calibration values on test 337,Calibration
Sensor data not recorded for line 199,Sensor
Inconsistent pressure readings in valve 626,Pressure
Incorrect calibration values on test 740,Calibration
Unexpected particles found in batch 715,Contamination
Biological contamination reported in lab 630,Contamination
Software error in automated control system 401,System
Incorrect calibration values on test 740,Calibration
Temperature sensor failed during batch 698,Sensor
Sensor data not recorded for line 705,Sensor
Operator missed critical step in process 672,Operator
Production delay in shift 164,Production
Calibration error detected in device 230,Calibration
Material outside specification detected in 855,Specification
Operator failed to document action in batch 495,Operator
Biological contamination reported in lab 710,Contamination
Motor overheating issue reported at 562,Motor
Manual override by operator caused error in 720,Operator
Delay in raw material delivery 81,Logistics
Production delay in shift 520,Production
Inconsistent pressure readings in valve 230,Pressure
Delay in raw material delivery 654,Logistics
Temperature sensor failed during batch 568,Sensor
Unexpected motor shutdown on machine 818,Motor
Biological contamination reported in lab 618,Contamination
Production halted due to jam on line 286,Production
Material outside specification detected in 202,Specification
Delay in raw material delivery 294,Logistics
Pressure system malfunction at node 508,Pressure
Pressure dropped below threshold in chamber 799,Pressure
Inventory mismatch reported at warehouse 773,Logistics
Material outside specification detected in 193,Specification
Inconsistent pressure readings in valve 600,Pressure
Pressure dropped below threshold in chamber 576,Pressure
Motor overheating issue reported at 295,Motor
Motor failure in unit 702,Motor
Pressure dropped below threshold in chamber 120,Pressure
Unexpected motor shutdown on machine 855,Motor
Operator missed critical step in process 682,Operator
Contaminated material detected in lot 351,Contamination
System crash during data logging 811,System
Deviation from specification recorded in batch 895,Specification
Operator failed to document action in batch 477,Operator
Operator missed critical step in process 884,Operator
Irregular production flow at station 924,Production
Unexpected motor shutdown on machine 950,Motor
Biological contamination reported in lab 907,Contamination
Delay in raw material delivery 605,Logistics
Production halted due to jam on line 620,Production
Motor failure in unit 835,Motor
Sensor data not recorded for line 579,Sensor
Delay in raw material delivery 734,Logistics
Calibration overdue for instrument 527,Calibration
Motor overheating issue reported at 963,Motor
Operator missed critical step in process 888,Operator
Specification limits breached at point 844,Specification
Temperature sensor failed during batch 141,Sensor
Unexpected motor shutdown on machine 10,Motor
Biological contamination reported in lab 178,Contamination
Sensor data not recorded for line 421,Sensor
Motor overheating issue reported at 835,Motor
Production delay in shift 782,Production
System crash during data logging 967,System
Material outside specification detected in 967,Specification
Material outside specification detected in 151,Specification
Incorrect shipment logged for delivery 842,Logistics
Irregular production flow at station 964,Production
Biological contamination reported in lab 827,Contamination
Sensor data not recorded for line 543,Sensor
Irregular production flow at station 529,Production
Deviation from specification recorded in batch 454,Specification
Motor overheating issue reported at 756,Motor
Unexpected particles found in batch 385,Contamination
Biological contamination reported in lab 173,Contamination
Calibration error detected in device 946,Calibration
Material outside specification detected in 84,Specification
Incorrect shipment logged for delivery 878,Logistics
Unexpected particles found in batch 904,Contamination
Unexpected motor shutdown on machine 104,Motor
Delay in raw material delivery 556,Logistics
Calibration overdue for instrument 259,Calibration
Production delay in shift 764,Production
Temperature sensor failed during batch 449,Sensor
Incorrect shipment logged for delivery 272,Logistics
Motor failure in unit 835,Motor
Pressure system malfunction at node 713,Pressure
Production halted due to jam on line 361,Production
Calibration error detected in device 628,Calibration
Pressure system malfunction at node 862,Pressure
Production halted due to jam on line 523,Production
Sensor data not recorded for line 97,Sensor
Delay in raw material delivery 522,Logistics
Calibration overdue for instrument 475,Calibration
Production delay in shift 528,Production
Calibration error detected in device 760,Calibration
System diagnostics failed at stage 659,System
Incorrect shipment logged for delivery 121,Logistics
Irregular production flow at station 703,Production
Specification limits breached at point 510,Specification
Deviation from specification recorded in batch 310,Specification
Pressure dropped below threshold in chamber 244,Pressure
Operator failed to document action in batch 546,Operator
Production delay in shift 379,Production
Delay in raw material delivery 356,Logistics
Motor failure in unit 866,Motor
Inconsistent pressure readings in valve 474,Pressure
Temperature sensor failed during batch 531,Sensor
Manual override by operator caused error in 56,Operator
Unexpected sensor spike in process 906,Sensor
Irregular production flow at station 645,Production
Unexpected particles found in batch 499,Contamination
Pressure system malfunction at node 275,Pressure
Unexpected motor shutdown on machine 172,Motor
Calibration error detected in device 938,Calibration
Biological contamination reported in lab 524,Contamination
Software error in automated control system 213,System
Biological contamination reported in lab 253,Contamination
Production halted due to jam on line 137,Production
Delay in raw material delivery 636,Logistics
Contaminated material detected in lot 846,Contamination
Manual override by operator caused error in 523,Operator
Production delay in shift 66,Production
Inventory mismatch reported at warehouse 253,Logistics
Pressure dropped below threshold in chamber 469,Pressure
Deviation from specification recorded in batch 906,Specification
Specification limits breached at point 410,Specification
Calibration error detected in device 290,Calibration
Inconsistent pressure readings in valve 603,Pressure
Calibration error detected in device 692,Calibration
Software error in automated control system 753,System
Material outside specification detected in 736,Specification
Delay in raw material delivery 463,Logistics
System crash during data logging 206,System
Pressure dropped below threshold in chamber 366,Pressure
Unexpected sensor spike in process 165,Sensor
Motor failure in unit 130,Motor
Production delay in shift 998,Production
Specification limits breached at point 252,Specification
System crash during data logging 903,System
Production delay in shift 921,Production
Deviation from specification recorded in batch 782,Specification
Operator missed critical step in process 936,Operator
Motor failure in unit 465,Motor
Temperature sensor failed during batch 974,Sensor
Unexpected motor shutdown on machine 260,Motor
Production delay in shift 503,Production
Operator missed critical step in process 795,Operator
Inventory mismatch reported at warehouse 487,Logistics
Motor overheating issue reported at 525,Motor
Production delay in shift 687,Production
Operator failed to document action in batch 859,Operator
System diagnostics failed at stage 899,System
Specification limits breached at point 875,Specification
Unexpected motor shutdown on machine 637,Motor
Production delay in shift 50,Production
Incorrect shipment logged for delivery 509,Logistics
Unexpected sensor spike in process 75,Sensor
Pressure system malfunction at node 172,Pressure
Contaminated material detected in lot 394,Contamination
Incorrect calibration values on test 343,Calibration
Specification limits breached at point 680,Specification
Manual override by operator caused error in 555,Operator
Sensor data not recorded for line 177,Sensor
Unexpected motor shutdown on machine 790,Motor
Contaminated material detected in lot 774,Contamination
Temperature sensor failed during batch 739,Sensor
Delay in raw material delivery 656,Logistics
Motor failure in unit 848,Motor
Delay in raw material delivery 22,Logistics
Contaminated material detected in lot 267,Contamination
Deviation from specification recorded in batch 799,Specification
Unexpected sensor spike in process 310,Sensor
Unexpected particles found in batch 183,Contamination
Calibration error detected in device 292,Calibration
Motor overheating issue reported at 844,Motor
Operator failed to document action in batch 193,Operator
Material outside specification detected in 158,Specification
Incorrect shipment logged for delivery 264,Logistics
Software error in automated control system 178,System
Pressure system malfunction at node 526,Pressure
Biological contamination reported in lab 825,Contamination
Delay in raw material delivery 107,Logistics
Sensor data not recorded for line 847,Sensor
Motor failure in unit 806,Motor
Inconsistent pressure readings in valve 722,Pressure
Unexpected sensor spike in process 845,Sensor
Sensor data not recorded for line 966,Sensor
Sensor data not recorded for line 985,Sensor
Pressure system malfunction at node 127,Pressure
System diagnostics failed at stage 317,System
Inconsistent pressure readings in valve 313,Pressure
Calibration error detected in device 309,Calibration
Pressure dropped below threshold in chamber 810,Pressure
Motor overheating issue reported at 285,Motor
Irregular production flow at station 66,Production
Unexpected motor shutdown on machine 892,Motor
Irregular production flow at station 984,Production
Pressure system malfunction at node 805,Pressure
Temperature sensor failed during batch 59,Sensor
Deviation from specification recorded in batch 209,Specification
Incorrect calibration values on test 438,Calibration
System crash during data logging 387,System
Temperature sensor failed during batch 97,Sensor
Incorrect calibration values on test 26,Calibration
Sensor data not recorded for line 234,Sensor
Operator failed to document action in batch 414,Operator
Incorrect shipment logged for delivery 275,Logistics
Inventory mismatch reported at warehouse 845,Logistics
System diagnostics failed at stage 505,System
Contaminated material detected in lot 572,Contamination
System diagnostics failed at stage 186,System
Unexpected sensor spike in process 300,Sensor
Contaminated material detected in lot 622,Contamination
Motor failure in unit 388,Motor
Incorrect calibration values on test 831,Calibration
Inconsistent pressure readings in valve 950,Pressure
Calibration error detected in device 921,Calibration
Delay in raw material delivery 806,Logistics
Manual override by operator caused error in 186,Operator
Software error in automated control system 686,System
Material outside specification detected in 523,Specification
Temperature sensor failed during batch 613,Sensor
Unexpected particles found in batch 679,Contamination
Inventory mismatch reported at warehouse 420,Logistics
Operator failed to document action in batch 866,Operator
Sensor data not recorded for line 323,Sensor
Delay in raw material delivery 661,Logistics
Motor failure in unit 234,Motor
Unexpected sensor spike in process 588,Sensor
Incorrect shipment logged for delivery 96,Logistics
Material outside specification detected in 573,Specification
Temperature sensor failed during batch 349,Sensor
System crash during data logging 873,System
System diagnostics failed at stage 457,System
